Date,S&P 500,Materials,Communication Svcs,Energy,Financials,Industrials,Technology,Cons. Staples,Real Estate,Utilities,Healthcare,Cons. Discretionary
2025-08-29,641.3713989257812,45.686241149902344,110.64466857910156,44.43381881713867,53.625431060791016,150.86782836914062,130.85809326171875,79.5909194946289,41.53557586669922,41.56669616699219,136.22425842285156,115.43722534179688
2025-09-02,636.61865234375,45.34463119506836,110.45594024658203,44.49772262573242,53.228126525878906,149.42872619628906,129.53677368164062,79.46283721923828,40.82875442504883,41.42866897583008,136.35311889648438,114.57544708251953
2025-09-03,640.06884765625,45.037681579589844,112.30349731445312,43.49981689453125,53.13874053955078,148.6744384765625,130.30963134765625,79.40371704101562,40.720767974853516,41.32514572143555,135.7088165283203,115.03871154785156
2025-09-04,645.4181518554688,45.210960388183594,113.31668090820312,43.789852142333984,53.6949577331543,150.3517608642578,130.9528350830078,79.4529800415039,40.99563980102539,41.275848388671875,136.22425842285156,117.14083099365234
2025-09-05,643.5488891601562,45.52781295776367,113.92259979248047,42.9443359375,52.711639404296875,149.79595947265625,131.0625,79.67959594726562,41.407955169677734,41.14767837524414,136.69012451171875,117.11592864990234
2025-09-08,645.1298217773438,45.567420959472656,114.05172729492188,42.84601974487305,52.751373291015625,150.13340759277344,132.0447540283203,79.3840103149414,41.133079528808594,40.728660583496094,136.6405792236328,117.56922912597656
2025-09-09,646.6212768554688,44.82479476928711,114.69738006591797,43.052486419677734,52.979820251464844,149.12106323242188,132.29904174804688,79.54165649414062,41.11344909667969,41.00965118408203,137.37408447265625,117.40484619140625
2025-09-10,648.4906005859375,44.90896224975586,113.85305786132812,43.80459976196289,52.80103302001953,150.2227325439453,134.6973114013672,78.76329040527344,41.09381103515625,41.71458435058594,136.12515258789062,116.00010681152344
2025-09-11,653.8796997070312,45.84961700439453,115.60128021240234,43.814430236816406,53.665157318115234,151.6519012451172,135.1510467529297,79.40371704101562,41.7613639831543,41.93642044067383,138.4941864013672,118.25664520263672
2025-09-12,653.660888671875,45.389190673828125,116.5647964477539,43.553890228271484,53.436710357666016,150.44107055664062,135.06129455566406,79.13768768310547,41.5748405456543,42.14839172363281,136.89830017089844,118.8693618774414
2025-09-15,657.1409301757812,45.022830963134766,118.2037582397461,43.40642166137695,53.31752014160156,151.1358184814453,136.27789306640625,78.23123931884766,41.5257568359375,42.246986389160156,135.7286376953125,119.90048217773438
2025-09-16,656.2361450195312,44.88420486450195,117.72696685791016,44.13395690917969,53.198333740234375,150.68919372558594,135.80421447753906,78.5859375,41.28033447265625,41.477962493896484,135.7286376953125,120.6377182006836
2025-09-17,655.4208374023438,44.98817443847656,118.03489685058594,44.237186431884766,53.714820861816406,150.00437927246094,135.3355255126953,79.05886840820312,41.26070022583008,41.581485748291016,135.99627685546875,120.3338623046875
2025-09-18,658.4832763671875,44.98817443847656,118.12428283691406,44.099544525146484,53.76448440551758,151.60227966308594,137.67398071289062,78.36917877197266,41.2901496887207,41.61106872558594,136.263916015625,119.79090118408203
2025-09-19,661.74462890625,44.9683723449707,118.61101531982422,43.514564514160156,53.88367462158203,151.96949768066406,139.070068359375,78.2115249633789,41.08399200439453,41.877262115478516,136.0854949951172,120.24420166015625
2025-09-22,664.8753662109375,44.95295333862305,118.19734954833984,43.46449279785156,53.81192398071289,152.47776794433594,141.11595153808594,77.33952331542969,41.219512939453125,42.28322219848633,136.05064392089844,119.85247802734375
2025-09-23,661.256103515625,44.80869674682617,118.02790069580078,44.213111877441406,53.572757720947266,152.5176239013672,139.89781188964844,77.7264175415039,41.54594802856445,42.5015869140625,136.3593292236328,118.72471618652344
2025-09-24,659.1522216796875,44.26152038574219,117.05106353759766,44.7882080078125,53.423282623291016,151.73031616210938,139.0341033935547,77.89506530761719,41.1205940246582,42.804317474365234,135.81166076660156,119.56305694580078
2025-09-25,656.1112670898438,43.68449783325195,116.65235137939453,45.189788818359375,53.28377151489258,150.70384216308594,138.78948974609375,77.15103149414062,41.02167892456055,42.39240264892578,133.56124877929688,117.87639617919922
2025-09-26,659.8701782226562,44.19187927246094,117.7886734008789,45.60623550415039,53.67241287231445,152.0592041015625,139.20884704589844,77.33952331542969,41.42724609375,43.08223342895508,134.92543029785156,119.61795043945312
2025-09-29,661.7246704101562,44.36100769042969,118.16744995117188,44.76837921142578,53.941471099853516,152.527587890625,139.9527130126953,77.48833465576172,41.506378173828125,43.20630645751953,135.32373046875,120.14189910888672
2025-09-30,664.21728515625,44.57987976074219,117.98802947998047,44.29243469238281,53.682376861572266,153.70355224609375,140.716552734375,77.74626159667969,41.67454147338867,43.2807502746582,138.57986450195312,119.58301544189453
2025-10-01,666.4806518554688,44.11228942871094,116.33338165283203,44.29243469238281,53.20404815673828,153.27503967285156,142.09446716308594,77.6272201538086,41.67454147338867,43.697628021240234,142.86163330078125,120.33152770996094
2025-10-02,667.248291015625,44.6246452331543,116.07421875,43.84624099731445,53.164188385009766,153.6736602783203,142.86331176757812,77.31968688964844,41.4569206237793,43.618221282958984,142.58282470703125,119.46324920654297
